Id,Title,Main Channel ID,Main Channel Title,HardTag1,HardTag2,HardTag3,US PScore,Dead,
UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,,,,,,871.58282,FALSE,e
UCgRvm1yLFoaQKhmaTqXk9SA,NowThis,,,,,,,FALSE,
UCzUV5283-l5c0oKRtyenj6Q,Mark Dice,,,ManoelAltLite,,,,FALSE,
UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,,,ManoelIDW,,,,FALSE,
UCf4FYTsGFFcdc68AUPIU3RA,BuzzFeed News,,,Mainstream News,,,,FALSE,
UCJdKr0Bgd_5saZYqLCa9mng,The Rubin Report,,,AIN,ManoelIDW,,807.92517,FALSE,
UCV3Nm3T-XAgVhKH9jT0ViRg,AJ+,,,Mainstream News,,,,FALSE,
UCKZGcrxRAhdUi58Mdr565mw,African Diaspora News Channel,,,,,,,FALSE,
UCDgchsbJnrX604K-xWsd-fQ,Hunter Avallone,,,,,,,FALSE,
UChwwoeOZ3EJPobW83dgQfAg,WeAreChange,,,,,,,FALSE,
UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Shown,,,,,,,FALSE,
UCDmCBKaKOtOrEqgsL4-3C8Q,Blair White,,,AIN,,,,FALSE,
UC0uVZd8N7FfIZnPu0y7o95A,ReasonTV,,,ManoelIDW,,,,FALSE,
UCBDrbqudUtPUQxAK_K2JaNQ,Lisa Haven,,,,,,,FALSE,
UCsGg9JQ4X7u2A6gCEmtVRmw,The Liberty Hound,,,,,,,FALSE,
UCQcPBLsq9rRc5TxDqSz_Dog,The Black World,,,,,,,FALSE,
UCLUrVTVTA3PnUFpYvpfMcpg,Lauren Chen,,,AIN,ManoelAltLite,,,FALSE,
UCrmm_7RDZJeQzq2-wvmjueg,The Real News,,,Mainstream News,,,,FALSE,
UCG749Dj4V2fKa143f8sE60Q,Tim Pool,,,AIN,,,,FALSE,
UCYWIEbibRcZav6xMLo9qWWw,The Ring of Fire,,,,,,,FALSE,
UC0RJJ_Wm7jyOU9eY10LgcwA,AdamKokesh,,,,,,,FALSE,
UC7Edgk9RxP7Fm7vjQ1d-cDA,FeministFrequency,,,ManoelControl,,,,FALSE,
UC-3jIAlnQmbbVMV6gR7K8aQ,The Majority Report w/ Sam Seder,,,,,,,FALSE,
UCIveFvW-ARp_B_RckhweNJw,Steven Crowder,,,AIN,ManoelAltLite,,884.17609,FALSE,
UCzIjg5vIfBGcdyLWu6lhXxw,Julie Borowski,,,ManoelAltLite,,,,FALSE,
UCctjGdm2NlMNzIlxz02IsXA,Chris Ray Gun,,,AIN,,,,FALSE,
UC3XTzVzaHQEd30rQbuvCtTQ,LastWeekTonight,,,TV,,,900.31018,FALSE,
UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,,,TV,,,1022.8678,FALSE,
UClFSU9_bUb4Rc6OYfTt5SPw,Philip DeFranco,,,,,,,FALSE,
UCupvZG-5ko_eiXAupbDfxWw,CNN,,,Mainstream News,TV,,1002.8795,FALSE,
UCzQUP1qoWDoEbmsQxvdjxgQ,PowerfulJRE,,,,,,925.3642,FALSE,
UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,,,Mainstream News,TV,,,FALSE,
UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,,,Mainstream News,TV,,956.06201,FALSE,
UCXIJgqnII2ZOINSWNOGFThA,Fox News,,,Mainstream News,TV,,1014.6294,FALSE,
UCczrL-2b-gYK3l4yDld4XlQ,RT America,UCpwvZwUam-URkxB7g4USKpg,RussiaToday,Mainstream News,TV,,,FALSE,
UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,UCgyeJxD05YnoDquRMNBfBqw,PBS,Mainstream News,TV,,,FALSE,
UCjXB7nX8bL2U2sje8d212Yw,Roland S. Martin,,,,,,,FALSE,
UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,,,Mainstream News,TV,ManoelControl,,FALSE,
UCzuqE7-t13O4NIDYJfakrhw,Democracy Now!,,,ManoelControl,,,,FALSE,
UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,,,Mainstream News,TV,,843.44006,FALSE,
UCeY0bbntWzzVIaj2z3QigXg,NBC News,,,Mainstream News,TV,,,FALSE,
UCaeO5vkdj5xOQHp4UmIN6dw,The Daily Wire,,,AIN,ManoelIDW,,,FALSE,
UCmhT57vCaS4kPIalY_rrysg,Political News Networks,,,,,,,FALSE,
UCnxGkOGNMqQEUMvroOWps6Q,JRE Clips,,,AIN,ManoelIDW,,902.33325,FALSE,
UCrm7RGOsstgF4qAG5mFGK-w,Joe Rogan University - Fan Channel,,,AIN,,,,FALSE,
UCK7tptUDHh-RYDsdxO1-5QQ,Wall Street Journal,,,Mainstream News,,,802.5412,FALSE,
UCvJJ_dzjViJCoLf5uKUTwoA,CNBC,,,Mainstream News,TV,,,FALSE,
UCqnbDFdCpuN8CMEg0VuEBqA,The New York Times,,,Mainstream News,,,801.95447,FALSE,
UCVSNOxehfALut52NbkfRBaA,VOA News,,,Mainstream News,,,,FALSE,
UCP6HGa63sBC7-KHtkme-p-g,USA TODAY,,,Mainstream News,TV,,799.96228,FALSE,
UCK0z0_5uL7mb9IjntOKi5XQ,The Atlantic,,,Mainstream News,ManoelControl,,,FALSE,
UCUMZ7gohGI9HcU9VNsr2FJQ,Bloomberg,,,Mainstream News,,,,FALSE,
UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist,,,Mainstream News,ManoelControl,,,FALSE,
UCJg9wBPyKMNA5sRDnvzmkdg,FOX 10 Phoenix,,,Mainstream News,TV,,,FALSE,
UCsD-Qms-AkXDrsU962OicLw,The New Yorker,,,Mainstream News,ManoelControl,,,FALSE,
UCldfgbzNILYZA4dmDt4Cd6A,Secular Talk,,,,,,,FALSE,
UCGy6uV7yqGWDeUWTZzT3ZEg,Rebel Media,,,AIN,ManoelAltLite,,,FALSE,
UC18vz5hUUqxbGvym9ghtX_w,Full Frontal with Samantha Bee,,,TV,,,,FALSE,
UCIZBXVGIJoJMXf8giib0IiQ,James Allsup,,,AIN,ManoelAltRight,,,FALSE,
UC8p1vwvWtl6T73JiExfWs1g,CBS News,,,Mainstream News,TV,,878.50104,FALSE,
UCY0YIply-je0EhSWLgpftVw,BEME News,,,,,,,FALSE,
UCIpwPuJsrboNnf200oV8cWQ,Fleccas Talks,,,,,,,FALSE,
UCmrLCXSDScliR7q8AxxjvXg,Black Pigeon Speaks,,,AIN,ManoelAltRight,,,FALSE,
UCZfsrIV68Oegr5bJgAMLBDA,HuffPost,,,Mainstream News,ManoelControl,,,FALSE,
UC0aVoboXBUx2-tVIWHc3W2Q,MILO,,,AIN,ManoelAltLite,,,FALSE,
UCB1o7_gbFp2PLsamWxFenBg,X22Report,,,,,,,FALSE,
UCC3L8QaxqEGUiBC252GHy3w,Stefan Molyneux,,,AIN,ManoelAltLite,,,FALSE,
UC8bTQzxgvKkXDAaWkeuUlkg,Trevor Noah,,,TV,,,,FALSE,
UCittVh8imKanO_5KohzDbpg,Paul Joseph Watson,,,AIN,ManoelAltLite,,,FALSE,
UCa3-BNaCeCvGSfhMuotYskg,Lionel Nation,,,,,,,FALSE,
UCAhmDfQ1LfOYECmNNWgXJ7Q,David Icke,,,,,,,FALSE,
UCJ7hqXLdgXlzjKpZY-K_6HA,Chelsea,,,TV,,,,FALSE,
UCWq53_f3zgMcWuE-XFKSpyQ,PJ Media,,,ManoelControl,,,,FALSE,
UC-yewGHQbNFpDrGM0diZOLA,Sargon of Akkad,,,AIN,ManoelIDW,,,FALSE,
UCqlYzSgsh5jdtWYfVIBoTDw,Fox News Insider,,,Mainstream News,TV,,,FALSE,
UCb--64Gl51jIEVE-GLDAVTg,C-SPAN,,,ManoelControl,Mainstream News,TV,,FALSE,
UCLoNQH9RCndfUGOb2f7E1Ew,The Next News Network,,,,,,,FALSE,
UC2nQYGjfe9I_tgWpqgJorUg,SGTreport,,,,,,,FALSE,
UCNbIDJNNgaRrXOD7VllIMRQ,One America News Network,,,,,,,FALSE,
UC7e57qWIEAZTQAaFwHpKdlw,SomeBlackGuy,,,AIN,,,,FALSE,
UC0rZoXAD5lxgBHMsjrGwWWQ,Styxhexenhammer666,,,AIN,ManoelAltLite,,,FALSE,
UCxzcBfvmeLmUNjlyM7FMgFg,Larry King,,,,,,,FALSE,
UCu8ebUHoKbhVY0tavNdhwvw,Anthony Brian Logan,,,,,,,FALSE,
UC-jlxuVAVEl2PXTaGno7gSA,SJWCentral,,,AIN,ManoelAltLite,,,FALSE,
UC7Q4rvzJDbHeBHYk5rnvZeA,The Humanist Report,,,,,,,FALSE,
UCWXPkK02j6MHW-4xCJzgMuw,Golden State Times,,,,,,,FALSE,
UCuMo0RRtnNDuMB8DV5stEag,Rebel HQ,,,,,,,FALSE,
UCKgJEs_v0JB-6jWb8lIy9Xw,TheBlaze,,,ManoelAltLite,,,,FALSE,
UCw5pSFA1KVZJruigo_FVv2Q,OpenMind,,,,,,,FALSE,
UClJ8Z0YvEm-ClFj3fdQgQkw,The Iconoclast,,,ManoelAltLite,,,,FALSE,
UCtZIK88xkeTXf49BgVXs0HA,Trump Fan Network,,,,,,,FALSE,
UCjo1uN-aM3rmBV46xj7l2KA,John Stossel,,,,,,,FALSE,
UCeZ3rXtghQn72DPeeH4Tu7g,KGP TV,,,,,,,FALSE,
UCe02lGcO-ahAURWuxAJnjdA,Timcast,UCG749Dj4V2fKa143f8sE60Q,Tim Pool,AIN,,,,FALSE,
UCUSySH2YjIwsDu2Hx6DWwTA,dollemore,,,,,,,FALSE,
UCh2p1Pb4o-NXQsbL__ikakw,GLOBAL News,,,TV,Mainstream News,ManoelControl,,FALSE,
UCwpDBy43upJR7LZLrgnKkPA,"Don't Walk, Run! Productions",,,,,,,FALSE,
UCHkapYFq5ev4PDAxZQ_PF9Q,Skavlan,,,Mainstream News,,,,FALSE,
UC7PfGhJXlJiDs4jvGGGgqsQ,StudioBrule,,,,,,,FALSE,
UCu_u-P3cBFO7D-sAjxd_I-w,The Agenda with Steve Paikin,,,TV,Mainstream News,,,FALSE,
UCJ-qLG1bdWVrHM-Hu2W73CQ,Operation Freedom,,,,,,,FALSE,
UC4-AGCUwX7C-D4BsBook9fQ,YAFTV,,,ManoelIDW,,,,FALSE,
UCRPdcY4_Al8TrRtgkMzkrQQ,Tony's - 24/7 Eyes,,,,,,,FALSE,
UCMfKNuYXBc9bxb0fg2cGTBg,Tipping Point With Liz Wheeler on OAN,,,,,,,FALSE,
UCDow765I-QrmVp9Kfz0HqGA,Florida Maquis,,,,,,,FALSE,
UC7qCAvNXX0Pi05tufrDN0XQ,Adam Carolla,,,,,,,FALSE,
UCVrK_pMRp_q8IelpfUCTGLQ,Turning Point USA,,,ManoelAltLite,,,,FALSE,
UCK70NBiy-dXseWDTfWDIVlQ,Connors Conquest,,,,,,,FALSE,
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,,,TV,Mainstream News,,,FALSE,
UCLMjHGVwfhKfPVd2LarCAjw,David Heavener,,,,,,,FALSE,
UCqxzXCQqNQ9wSwHPtZKHrlQ,Domination Station,,,ManoelAltLite,,,,FALSE,
UCod8IyoN-ua9gDxlDpoEklQ,kytekuttertv,,,,,,,FALSE,
UCXyLkBdJzh3SfFw6GvHkXKw,Atheism-is-Unstoppable-2,,,,,,,FALSE,
UC7K0wNhrt6fQdTj9zQQwLtw,The Josh Bernstein Show,,,,,,,FALSE,
UCyXhXAmTRVfeiD8JkWJ7Tzg,MeaningofLife.tv,,,ManoelIDW,,,,FALSE,
UC_qQ2_AVAh8pzj7yklimASQ,Kalvin Garrah,,,,,,,FALSE,
UC2TNY0ME37MkgM15RpORfIw,Rekt Idiots,,,ManoelIDW,,,,FALSE,
UCaFNs3ETMvkmy0JahAS6WJA,Logicked,,,,,,,FALSE,
UCEL5udLvhpEOG8Lc9O-xbmQ,Metokurist Murdochian Archiver,,,,,,,FALSE,
UC5ft8escJDZqT-QIWkHsImQ,Oof Curator,,,,,,,FALSE,
UC1Y7SRZlf6BNmBPakawhLXA,Shmufkin TV,,,,,,,FALSE,
UClFLXO6ecX-ucJp9gGJYiDw,Counter Arguments,,,,,,,FALSE,
UC7SeFWZYFmsm1tqWxfuOTPQ,Count Dankula,,,ManoelAltRight,,,774.0011,FALSE,
UCQZdMTHwIw_fZRk0wI8oqkQ,Dismantle The Matrix,,,ManoelAltRight,,,,FALSE,
UCfI7lYIToulrt868GBLHn7Q,MNN NYC,,,,,,,FALSE,
UC2h3yPmh9TfQv2z3aTDTHHA,Andywarski,,,ManoelAltLite,,,,FALSE,
UCka_dz0F1gYuvN8LTefNcJQ,Bunty King,,,AIN,,,464.16699,FALSE,
UCZeP6H2mELnRI9imY5Iga0g,Ayla Stewart Wife with a Purpose,,,AIN,ManoelAltRight,,,FALSE,
UCesrUK_dMDBZAf7cnjQPdgQ,Brittany Pettibone,,,AIN,ManoelAltLite,,,FALSE,
UCFpvg5yg5fMda91yiI1owSQ,Caolan Robertson,,,AIN,,,,FALSE,
UCpiCH7qvGVlzMOqy3dncA5Q,The Thinkery,,,AIN,ManoelAltLite,,,FALSE,
UC5tEELgWBfKbA9fVPRzBzPQ,Coach Red Pill,,,AIN,,,,FALSE,
UCT9D87j5W7PtE7NHOR5DUOQ,Computing Forever,,,AIN,ManoelAltLite,,,FALSE,
UClMWnUHbxJKJLUgloN1mPUA,Faith J Goldy,,,AIN,ManoelAltRight,,,FALSE,
UCFUC7NaTxZanB_FVOJN92eg,Red Ice TV,,,AIN,ManoelAltRight,,,TRUE,
UCL9PlYkRD3Q-RZca6CCnPKw,Project Veritas,,,AIN,ManoelControl,,,FALSE,
UCEE8w-v6Gg4j3ze3oX-urEw,Project Veritas Action,,,AIN,,,,FALSE,
UCMLbmp5tcLxzahMLTmeM4lg,American Renaissance,,,AIN,ManoelAltRight,,,FALSE,
UCowcNKm1w2GGw5U_XQeduhg,Jean-Francois Gariépy,,,AIN,ManoelAltRight,,664.50531,FALSE,
UCAldq8BAAGdsX9UyK_09-ZA,Jeff Holiday,,,AIN,,,,FALSE,
